"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2022","27.03","26.69","27.22","26.20","53.05M","-3.98%"
"03/08/2022","28.15","28.26","29.36","26.68","79.84M","-1.19%"
"03/07/2022","28.49","26.30","28.53","26.26","65.85M","8.74%"
"03/04/2022","26.20","26.49","27.32","26.02","61.62M","4.34%"
"03/03/2022","25.11","24.68","25.77","24.34","51.21M","0.60%"
"03/02/2022","24.96","26.31","26.49","24.70","53.03M","-6.41%"
"03/01/2022","26.67","24.65","26.97","24.32","72.26M","11.13%"
"02/28/2022","24.00","24.70","24.97","23.55","73.86M","4.58%"
"02/25/2022","22.95","23.72","24.20","22.62","65.15M","-4.08%"
"02/24/2022","23.92","27.40","27.45","23.77","108.83M","-3.14%"
"02/23/2022","24.70","22.73","24.77","22.65","75.64M","5.74%"
"02/22/2022","23.36","23.79","24.62","22.88","86.32M","-0.38%"
"02/18/2022","23.45","23.18","24.07","22.80","75.87M","2.13%"
"02/17/2022","22.96","21.71","23.09","21.62","66.85M","11.84%"
"02/16/2022","20.53","21.70","22.14","20.46","56.88M","-4.02%"
"02/15/2022","21.39","21.68","22.22","21.33","55.40M","-8.24%"
"02/14/2022","23.31","23.31","24.80","23.01","101.70M","0.30%"
"02/11/2022","23.24","20.47","23.87","20.29","116.99M","13.59%"
"02/10/2022","20.46","19.73","20.97","18.78","85.91M","9.35%"
"02/09/2022","18.71","18.94","19.15","18.71","39.64M","-4.05%"
"02/08/2022","19.50","20.22","20.59","19.41","41.79M","-4.51%"
"02/07/2022","20.42","20.50","20.74","19.97","44.28M","-2.76%"
"02/04/2022","21.00","21.52","22.16","20.30","65.16M","-3.58%"
"02/03/2022","21.78","20.64","21.97","20.09","69.16M","12.15%"
"02/02/2022","19.42","19.71","20.23","19.30","43.73M","-2.12%"
"02/01/2022","19.84","21.01","21.62","19.80","53.03M","-7.33%"
"01/31/2022","21.41","23.21","23.40","21.41","62.53M","-6.71%"
"01/28/2022","22.95","23.99","25.04","22.83","102.38M","-6.29%"
"01/27/2022","24.49","23.10","25.13","22.64","120.22M","0.70%"
"01/26/2022","24.32","22.80","24.86","21.76","143.93M","1.93%"
"01/25/2022","23.86","25.33","26.26","23.15","140.99M","0.59%"
"01/24/2022","23.72","25.01","27.84","23.27","186.45M","2.24%"
"01/21/2022","23.20","21.60","23.23","21.15","136.71M","9.23%"
"01/20/2022","21.24","19.86","21.39","19.08","70.12M","4.32%"
"01/19/2022","20.36","19.47","20.54","19.38","70.93M","2.36%"
"01/18/2022","19.89","19.25","20.04","19.21","68.91M","7.80%"
"01/14/2022","18.45","19.37","19.47","18.30","86.63M","-1.55%"
"01/13/2022","18.74","17.58","18.89","17.40","58.79M","6.30%"
"01/12/2022","17.63","17.59","17.98","17.30","43.27M","-1.07%"
"01/11/2022","17.82","18.72","19.12","17.77","52.42M","-3.52%"
"01/10/2022","18.47","19.54","20.60","18.41","92.15M","-1.86%"
"01/07/2022","18.82","19.32","19.86","18.73","52.31M","-2.89%"
"01/06/2022","19.38","19.37","19.70","18.81","65.11M","0.47%"
"01/05/2022","19.29","18.02","19.31","17.60","76.53M","7.89%"
"01/04/2022","17.88","17.76","18.42","17.71","40.59M","-0.11%"
"01/03/2022","17.90","18.28","18.65","17.86","35.08M","-3.40%"
"12/31/2021","18.53","18.65","18.85","18.37","23.37M","-0.96%"
"12/30/2021","18.71","18.61","18.88","18.29","19.78M","0.00%"
"12/29/2021","18.71","19.18","19.39","18.55","23.32M","-2.60%"
"12/28/2021","19.21","19.59","19.80","19.17","28.53M","-2.49%"
"12/27/2021","19.70","20.02","20.29","19.60","26.37M","-2.38%"
"12/23/2021","20.18","20.20","20.28","19.95","31.66M","-1.13%"
"12/22/2021","20.41","21.61","21.61","20.39","31.23M","-5.77%"
"12/21/2021","21.66","22.03","22.56","21.41","37.88M","-4.92%"
"12/20/2021","22.78","24.00","24.87","22.60","73.13M","3.69%"
"12/17/2021","21.97","22.11","22.62","21.12","69.65M","3.19%"
"12/16/2021","21.29","20.06","21.98","19.96","79.39M","4.21%"
"12/15/2021","20.43","22.13","23.01","20.35","72.30M","-6.84%"
"12/14/2021","21.93","22.35","23.01","21.73","51.08M","1.34%"
"12/13/2021","21.64","20.98","21.85","20.93","41.97M","4.14%"
"12/10/2021","20.78","21.14","21.84","20.73","46.29M","-6.40%"
"12/09/2021","22.20","21.59","22.64","21.24","49.14M","3.16%"
"12/08/2021","21.52","22.70","23.03","21.52","25.01M","-6.03%"
"12/07/2021","22.90","24.28","24.29","22.60","43.90M","-11.17%"
"12/06/2021","25.78","26.97","27.93","25.64","71.17M","-7.80%"
"12/03/2021","27.96","25.50","30.15","25.30","132.63M","8.71%"
"12/02/2021","25.72","26.45","26.94","25.18","57.07M","-5.79%"
"12/01/2021","27.30","23.63","27.37","22.75","70.31M","7.23%"
"11/30/2021","25.46","23.50","25.51","23.03","71.35M","15.46%"
"11/29/2021","22.05","23.16","23.35","21.64","49.66M","-15.71%"
"11/26/2021","26.16","22.97","26.44","22.63","82.88M","27.30%"
"11/24/2021","20.55","21.35","21.74","20.42","34.76M","-1.44%"
"11/23/2021","20.85","21.33","21.74","20.77","42.16M","-2.25%"
"11/22/2021","21.33","20.53","21.42","20.42","39.62M","1.77%"
"11/19/2021","20.96","20.81","21.20","20.51","31.52M","1.21%"
"11/18/2021","20.71","20.30","20.98","20.22","24.91M","0.93%"
"11/17/2021","20.52","20.13","20.60","19.99","23.20M","1.63%"
"11/16/2021","20.19","20.26","20.29","19.86","19.40M","0.35%"
"11/15/2021","20.12","20.11","20.80","20.10","20.32M","-1.18%"
"11/12/2021","20.36","20.76","20.95","20.28","22.15M","-3.69%"
"11/11/2021","21.14","21.10","21.34","20.68","18.32M","-2.13%"
"11/10/2021","21.60","21.67","22.10","20.83","53.77M","1.84%"
"11/09/2021","21.21","21.02","21.71","20.98","36.98M","1.68%"
"11/08/2021","20.86","20.52","21.25","20.45","25.12M","0.14%"
"11/05/2021","20.83","19.90","20.93","19.82","36.40M","3.89%"
"11/04/2021","20.05","19.60","20.38","19.47","32.79M","1.16%"
"11/03/2021","19.82","20.59","20.69","19.66","39.75M","-3.46%"
"11/02/2021","20.53","21.06","21.06","20.52","20.67M","-2.70%"
"11/01/2021","21.10","21.22","21.88","21.05","21.84M","-1.59%"
"10/29/2021","21.44","21.80","21.86","21.26","26.63M","0.80%"
"10/28/2021","21.27","21.54","21.65","21.20","20.55M","-3.10%"
"10/27/2021","21.95","21.38","22.04","20.91","34.15M","2.24%"
"10/26/2021","21.47","20.81","21.93","20.79","31.20M","1.95%"
"10/25/2021","21.06","21.50","21.91","21.03","28.53M","-2.95%"
"10/22/2021","21.70","21.30","22.20","21.06","36.42M","2.26%"
"10/21/2021","21.22","22.11","22.19","21.20","25.90M","-3.33%"
"10/20/2021","21.95","22.20","22.26","21.88","25.65M","-0.90%"
"10/19/2021","22.15","22.22","22.42","22.00","25.08M","-0.98%"
"10/18/2021","22.37","23.16","23.21","22.34","21.15M","-1.84%"
"10/15/2021","22.79","22.61","22.94","22.18","29.41M","-0.09%"
